"","City","company_na","GEOID","full_name","ALAND","X","Y","Match_addr","year","industry","employees","revenue","growth","employeesgroup","revenuegroup","growthgroup"
"21","Albuquerque","Queston Construction, Inc.",35001002700,"Albuquerque, NM",2984737,-106.646521,35.091827,"920 1st St NW, Albuquerque, New Mexico, 87102",2008,"Construction",45,4330804,1.7488,2,1,2
"22","Rio Rancho","Rio Grande Games",35043010703,"Albuquerque, NM",19162717,-106.6323,35.288797,"87144, Rio Rancho, New Mexico",2007,"Consumer Products & Services",2,4095000,0.8639,1,1,1
"23","Albuquerque","RiskSense",35001003724,"Albuquerque, NM",1771490,-106.557661,35.145388,"7801 Academy Rd NE, Albuquerque, New Mexico, 87109",2015,"Security",31,4673891,2.7335,2,1,2
"24","Albuquerque","Roman Fountains",35001003735,"Albuquerque, NM",7303805,-106.608664,35.182377,"8600 Paseo Alameda NE, Albuquerque, New Mexico, 87113",2008,"Manufacturing",30,6728478,1.624,2,1,2
"25","Albuquerque","Sacred Power",35001002500,"Albuquerque, NM",3439512,-106.658074,35.10182,"1501 12th St NW, Albuquerque, New Mexico, 87104",2010,"Energy",40,6150003,1.289,2,1,2
"26","Albuquerque","Sandia Office Supply",35001003736,"Albuquerque, NM",12778537,-106.601382,35.144678,"3831 Singer Blvd NE, Albuquerque, New Mexico, 87109",2011,"Retail",32,11486335,1.419151,2,2,2
"27","Albuquerque","Source Technologies",35001002100,"Albuquerque, NM",1276195,-106.651335,35.083504,"320 Gold Ave SW, Albuquerque, New Mexico, 87102",2011,"Energy",15,2445000,2.282412,1,1,2
"28","Albuquerque","Spa Enrichment Strategies",35001002100,"Albuquerque, NM",1276195,-106.644874,35.082911,"123 Broadway Blvd SE, Albuquerque, New Mexico, 87102",2014,"Consumer Products & Services",5,2102064,7.9028,1,1,3
"29","Albuquerque","Speridian Global Holdings",35001001200,"Albuquerque, NM",11871558,-106.613375,35.059079,"2021 Girard Blvd SE, Albuquerque, New Mexico, 87106",2015,"IT Services",644,31427777,1.8314,3,2,2
"30","Albuquerque","Stride",35001004001,"Albuquerque, NM",97434109,-106.609782,34.996731,"87106, Albuquerque, New Mexico",2007,"Consumer Products & Services",32,6762807,0.8112,2,1,1
"31","Albuquerque","Urban Fresh Cosmetics",35001002100,"Albuquerque, NM",1276195,-106.644874,35.082911,"123 Broadway Blvd SE, Albuquerque, New Mexico, 87102",2015,"Retail",4,3100863,13.763,1,1,3
"32","Albuquerque","Wellkeeper",35001000601,"Albuquerque, NM",2429620,-106.577447,35.089457,"1208 San Pedro Dr NE, Albuquerque, New Mexico, 87110",2011,"Energy",20,2700000,2.229665,1,1,2
"33","Atlanta","MedSide",13089021411,"Atlanta-Sandy Springs-Marietta, GA",1667281,-84.333426,33.865765,"30319, Atlanta, Georgia",2008,"Health",130,3807000,1.588,3,1,2
"34","Norcross","DCO Distribution, Inc.",13135050311,"Atlanta-Sandy Springs-Marietta, GA",4924718,-84.225151,33.950623,"5965 Peachtree Cnrs E, Norcross, Georgia, 30071",2008,"Telecommunications",9,2857841,2.7866,1,1,2
